subject,Language,thing,color,
34,Spanish,dirt,10,
34,Spanish,grass / leaf,5,
34,Spanish,hair,1,
34,Spanish,teeth,2,
34,Spanish,rice,2,
34,Spanish,unripe bananas,5,
34,Spanish,ripe banana,6,
34,Spanish,sky,4,
34,Spanish,corn,2,
34,Spanish,yuca (inside),2,
34,Spanish,yuca (outside),10,
34,Spanish,blood,3,
34,Spanish,fire,6,
34,Spanish,carrot,9,
34,Spanish,tomato,3,
34,Spanish,focal red,F1,
34,Spanish,focal blue,G15,
34,Spanish,focal green,F9,
34,Spanish,focal yellow,B6,
34,Spanish,focal grey,,
34,Spanish,focal purple / violet,G17,
34,Spanish,focal orange,D2,
34,Spanish,focal brown,H3,
34,Spanish,focal pink,C1,
34,Spanish,focal celeste,B14,
35,Spanish,cloud,2,
35,Spanish,dirt,10,
35,Spanish,grass / leaf,5,
35,Spanish,hair,1,
35,Spanish,teeth,2,
35,Spanish,rice,2,
35,Spanish,unripe bananas,5,
35,Spanish,ripe banana,6,
35,Spanish,sky,4,
35,Spanish,corn,2,
35,Spanish,yuca (inside),2,
35,Spanish,yuca (outside),10,
35,Spanish,blood,3,
35,Spanish,fire,3,
35,Spanish,carrot,9,
35,Spanish,tomato,3,
35,Spanish,focal red,F1,
35,Spanish,focal blue,G15,
35,Spanish,focal green,H9,
35,Spanish,focal yellow,B4,
35,Spanish,focal grey,,
35,Spanish,focal purple / violet,G17,
35,Spanish,focal orange,D3,
35,Spanish,focal brown,H3,
35,Spanish,focal pink,D20,
35,Spanish,focal celeste,E15,
36,Spanish,cloud,2,
36,Spanish,dirt,10,
36,Spanish,grass / leaf,5,
36,Spanish,hair,1,
36,Spanish,teeth,2,
36,Spanish,rice,2,
36,Spanish,unripe bananas,5,
36,Spanish,ripe banana,6,
36,Spanish,sky,4,
36,Spanish,corn,2,
36,Spanish,yuca (inside),2,
36,Spanish,yuca (outside),10,
36,Spanish,blood,3,
36,Spanish,fire,3,
36,Spanish,carrot,9,
36,Spanish,tomato,3,
36,Spanish,focal red,F1,
36,Spanish,focal blue,H15,
36,Spanish,focal green,E8,
