subject,order,color_object label,response,Isabel Time,Rashida Time
1823,2,cup,vaso,5.60,5.35
1823,5,comb,petsi,2.49,2
1823,8,leaf,shan,3.27,2.82
1823,6,fan,fijfity,1.58,1.37
1823,7,stick,shIru',4.14,3.67
1823,4,rock,mij,2.11,1.6
1823,1,F9,4,7.86,7.29
1823,2,H7,1,2.61,2.4
1823,3,A16,2,1.45,1.35
1823,4,G14,4,16.75,16.07
1823,5,B1,3,3.66,2.56
1823,6,G4,1,10.54,11.22
1823,7,H17,8,6.58,6.98
1823,8,F1,3,3.21,2.82
1823,9,B4,chacbas,1.96,1.95
1823,10,F5,1,5.63,5.18
1823,11,F17,8,7.48,7.42
1823,12,H9,5,3.26,3
1823,13,D5,chacbas,26.11,26.12
1823,14,F13,4,1.69,1.5
1823,15,B13,4,1.69,1.66
1824,1,banana,pe're,1.32,0.92
1824,5,tomato,tomati,1.24,0.88
1824,4,cup,vaso,2.41,2.14
1824,3,comb,peinete,1.92,1.42
1824,7,leaf,shan,1.56,1.25
1824,6,fan,fijfity,0.80,0.84
1824,8,stick,shIru',1.68,1.32
1824,2,rock,mij,1.36,1.1
1824,1,F17,7,12.20,14.58
1824,2,H9,4,3.33,2.3
1824,3,D5,12,1.29,1.1
1824,4,F13,12,4.08,3.4
1824,5,B13,4,9.99,8.66
1824,6,H7,1,0.87,0.88
1824,7,A16,2,1.44,1.06
1824,8,G14,ifo,2.49,2.43
1824,9,B1,3,8.61,8.66
1824,10,G4,9,16.02,17.48
1824,11,H17,9,5.36,5.2
1824,12,F1,3,1.31,1.38
1824,13,B4,12,1.45,1.28
1824,14,F5,7,1.77,1.5
1824,15,F9,4,1.92,1.49
1825,1,banana,pe're,1.08,0.96
1825,5,tomato,tomati,1.43,1.29
1825,2,cup,vaso,3.29,2.7
1825,4,comb,petsi,1.74,1.34
1825,8,leaf,paya,3.13,2.13
1825,6,fan,fijfity,1.16,0.96
1825,7,stick,shuru',3.19,2.91
1825,3,rock,mij,1.79,1.28
1825,1,F5,boca,5.74,5.34
1825,2,D5,12,1.84,1.84
1825,3,F13,4,2.44,2.04
1825,4,B13,4,3.61,2.93
1825,5,H7,1,5.83,5.77
1825,6,A16,2,1.44,1.16
1825,7,G14,4,3.85,3.37
1825,8,F9,5,2.30,2.19
1825,9,B1,ifo,5.15,4.94
1825,10,G4,10,4.29,4.28
1825,11,H17,4,3.26,3.11
1825,12,F1,3,3.18,2.78
1825,13,B4,12,1.60,1.35
1825,14,F17,8,5.00,4.47
1825,15,H9,5,2.06,1.57
1826,1,banana,pe're,1.98,1.85
1826,3,tomato,tomati,0.80,0.7
1826,5,cup,chequis,1.74,1.38
1826,2,comb,petsi,1.03,0.8
1826,7,leaf,paya,6.02,5.53
1826,6,fan,fijfity,0.68,0.61
1826,8,stick,shuru',1.47,0.95
1826,4,rock,mij,1.26,1
1826,1,F5,6,12.48,12.16
1826,2,F13,4,5.68,5.96
1826,3,B13,4,3.37,3.6
1826,4,H7,1,1.47,1.1
1826,5,A16,2,1.10,0.83
1826,6,G14,4,2.46,2.38
1826,7,F9,5,2.00,0.98
1826,8,B1,3,1.85,1.55
1826,9,G4,10,1.89,1.53
1826,10,H17,8,2.59,2.31
1826,11,F1,3,1.00,0.91
1826,12,B4,6,1.48,1.52
1826,13,F17,8,2.14,1.85
1826,14,H9,5,1.72,1.4
1826,15,D5,6,3.97,3.86
1827,5,banana,pe're,0.81,0.58
1827,2,tomato,tomati,0.89,2.94
1827,4,cup,tasa,1.28,0.88
1827,3,comb,petsi,1.01,0.76
1827,7,leaf,shan,2.52,2.15
1827,6,fan,fijfity,1.66,1.1
1827,8,stick,shuru',2.06,1.5
1827,1,rock,mij,2.39,2.11
1827,1,F5,12,2.99,2.48
1827,2,F13,4,1.34,1.14
1827,3,B13,4,4.02,3.05
1827,4,H7,1,2.88,2.61
1827,5,A16,2,1.53,1.2
1827,6,G14,4,3.95,3.64
1827,7,D5,12,1.81,1.85
1827,8,F9,4,8.06,6.98
1827,9,B1,3,3.96,4.12
1827,10,G4,12,4.13,3.8
1827,11,H9,4,4.20,3.16
1827,12,H17,3,8.23,8.53
1827,13,F1,3,1.93,1.7
1827,14,B4,12,1.39,1.45
1827,15,F17,12,5.28,5.18
1828,1,banana,pe're,1.95,1.75
1828,2,tomato,tomati,1.02,0.56
1828,5,cup,vaso,0.76,0.41
1828,4,comb,petsi,0.70,0.49
1828,7,leaf,shan,2.25,2.4
1828,6,fan,fijfity,0.69,0.34
1828,8,stick,shuru',1.34,1.1
1828,3,rock,mij,4.24,0.78
1828,1,G4,10,4.51,4.1
1828,2,H9,5,2.19,1.23
1828,3,H17,8,1.88,1.5
1828,4,F1,3,2.57,2.3
1828,5,B4,12,1.52,3.8
